Zone,SubZone,WaterLevel,SurfacePollution,GroundWaterPollution,RainfallPollution
Upstream,U1,85,20,15,10
Upstream,U2,90,25,20,12
Upstream,U3,88,30,18,15
Upstream,U4,70,18,12,8
Upstream,U5,60,15,10,5
Dam,D1,75,25,20,10
Dam,D2,70,28,22,12
Dam,D3,65,30,25,15
Dam,D4,68,27,21,10
Dam,D5,72,26,20,9
Downstream1,DS1_1,60,35,25,15
Downstream1,DS1_2,55,30,22,12
Downstream1,DS1_3,58,28,20,10
Downstream1,DS1_4,62,32,23,14
Downstream1,DS1_5,65,36,26,18
Downstream2,DS2_1,50,65,40,30
Downstream2,DS2_2,52,70,45,35
Downstream2,DS2_3,48,68,42,33
Downstream2,DS2_4,55,72,46,38
Downstream2,DS2_5,53,75,48,40
